Column2    Column3
95    116.28
148    118.22
415    122.41
38    129.87
36    135.6
190    137.99
134    139.79
36    140.64
93    139.14
114    136.21
391    135.33
273    139.77
382    149.31
321    162.77
454    179.8
271    199.13
90    216.2
341    228.62
36    237.22
628    244.52
56    253.09
68    257.95
127    255.87
197    250.17
375    244.98
78    241.39
603    240.02
576    246.31
369    260.46
75    274.05
97    280.51
292    280.86
439    281.11
96    282.45
58    279.89
345    273.36
408    268.89
60    266.67
115    261.52
438    255.01
65    250.34
251    245.3
377    241.16
528    242.64
59    248.02
61    249.79
720    250.34
714    260.65
573    282.21
478    308.47
309    333.38
278    352.68
124    363.93
39    365.26
639    361.23
712    362.91
470    372.98
316    384.54
467    393.59
314    400.41
556    405.99
199    410.26
586    412.67
987    420.26
210    434.87
217    445.06
70    444.15
691    437.5
672    435.47
638    441.48
225    449.37
171    450.99
1023    450.47
312    455.97
124    459.73
89    452.89
150    436.55
207    414.73
564    393.79
92    376.64
245    359.4
240    341.26
566    326.83
617    321.4
201    323.07
234    324.01
302    322.07
723    322.8
857    334.04
340    354.31
65    371.26
304    378.34
102    377.74
219    370.93
457    361.79
331    354.96
162    348.63
59    338.26
43    321.98
606    305.21
733    298.71
45    301.3
512    304.33
727    311.34
564    327.18
306    346.18
335    361.68
118    370.61
297    372.41
59    367.95
155    357.14
34    340.56
781    325.01
126    316.59
214    310.02
201    301.05
80    290.08
275    277.46
487    267.91
65    262.61
208    256.74
261    249.96
194    244.17
204    238.76
239    233.71
571    232.44
488    239.11
368    252.01
51    264
64    268.91
117    266.29
126    259.07
205    249.82
150    240.22
184    230.7
650    225.45
34    226.48
468    229.53
56    232.74
383    235.44
226    238.36
155    240.88
66    239.87
415    237.01
706    240.14
266    251.78
436    266.07
257    279.64
318    291.2
419    301.2
660    313.79
157    328.61
124    338.16
296    340.13
391    339.57
324    339.5
196    338.44
173    333.87
298    326.34
202    317.87
242    308.75
488    301.31
43    296.09
402    290.43
633    288.71
608    296.51
222    309.65
410    321.47
150    329.71
248    333.05
57    330.48
696    326.37
212    326.15
300    326.91
69    324
791    321.24
96    322.9
341    324.42
546    325.79
145    329.09
404    330.98
117    330.34
78    324.95
54    312.92
798    301.57
108    297.43
126    293.87
496    288.56
64    284.73
291    280
127    273.57
274    266.43
305    260.3
99    255.16
89    247.73
69    236.83
451    226.34
595    223.7
197    229.38
56    234.74
434    237.22
310    241.44
109    246.25
493    250.21
149    255.21
146    258.33
424    259.35
331    262.45
145    266.28
198    267.19
44    263.95
227    257.07
472    251.36
238    250.28
87    249.74
217    246.32
87    240.66
304    234.17
486    231.21
268    234
454    240.51
515    251.39
340    266.33
53    279.19
266    285.69
73    286.7
153    282.75
74    274.21
184    262.73
94    249.79
445    238.46
123    231.07
258    225.63
46    219.73
106    211.78
210    202.65
94    194.15
195    186.18
54    178.43
192    170.75
94    163.67
428    159.52
262    161.02
42    165
412    168.83
115    174.24
